instance_id,component_size,separation,coverage,base_wrongness,seed,x,y,n_k,z_size,z_star,s0_ok,r_val,r_status,r_method,r_oracle,r_exact,r_assumes,r_witness,r_search_seconds,r_ladder_seconds,r_total_seconds,wall_until_timeout_s,space_n_elements,space_build_seconds,n_samples,n_ok,n_unreachable_in_space,n_not_in_space_bug,n_contradictory,h_max,AUC_claims,AUC_abs_claims,n_d_claims_evaluated,AUC_hops,n_d_hops_evaluated,n_symdiff_compared,n_symdiff_eq_dhops,n_symdiff_gt_dhops,n_symdiff_lt_dhops,frac_symdiff_eq_dhops,frac_symdiff_gt_dhops,frac_symdiff_lt_dhops
c03_s01_cov050_seed00000000_bw000,3,1,0.5,0.0,0,X,Y,2,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y W->Y X->Y C00-X C02-X,0.00010333299999998324,0.0,0.00010333299999998324,,19,0.002360542000000021,200,200,0,0,0,4,0.378,0.54,2,0.43200000000000005,2,200,200,0,0,1.0,0.0,0.0
c03_s01_cov050_seed00000001_bw000,3,1,0.5,0.0,1,X,Y,1,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y W->Y X->Y C00-C02 C00-X,8.366599999998225e-05,0.0,8.366599999998225e-05,,6,0.0005860420000000088,100,100,0,0,0,3,0.0,0.0,1,0.0,1,100,100,0,0,1.0,0.0,0.0
c03_s01_cov050_seed00000002_bw000,3,1,0.5,0.0,2,X,Y,2,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y W->Y X->Y C00-X C02-X,8.662500000000684e-05,0.0,8.662500000000684e-05,,19,0.0020427079999999487,200,200,0,0,0,4,0.35699999999999993,0.51,2,0.4079999999999999,2,200,200,0,0,1.0,0.0,0.0
c03_s01_cov050_seed00000003_bw000,3,1,0.5,0.0,3,X,Y,2,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y W->Y X->Y C00-X C02-X,7.766700000000348e-05,0.0,7.766700000000348e-05,,19,0.0018624160000000334,200,200,0,0,0,4,0.3710000000000001,0.53,2,0.4240000000000001,2,200,200,0,0,1.0,0.0,0.0
c03_s01_cov050_seed00000004_bw000,3,1,0.5,0.0,4,X,Y,1,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y W->Y X->C02 X->Y C00-X,7.216600000004014e-05,0.0,7.216600000004014e-05,,6,0.0005442909999999745,100,100,0,0,0,3,0.0,0.0,1,0.0,1,100,100,0,0,1.0,0.0,0.0
c03_s01_cov050_seed00000005_bw000,3,1,0.5,0.0,5,X,Y,1,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y W->Y X->C02 X->Y C00-X,6.737500000009167e-05,0.0,6.737500000009167e-05,,6,0.0004441250000000174,100,100,0,0,0,3,0.0,0.0,1,0.0,1,100,100,0,0,1.0,0.0,0.0
c03_s01_cov050_seed00000006_bw000,3,1,0.5,0.0,6,X,Y,1,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y W->Y X->Y C00-C02 C00-X,5.0459000000002696e-05,0.0,5.0459000000002696e-05,,6,0.0005032499999999551,100,100,0,0,0,3,0.0,0.0,1,0.0,1,100,100,0,0,1.0,0.0,0.0
c03_s01_cov050_seed00000007_bw000,3,1,0.5,0.0,7,X,Y,1,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y W->Y X->C02 X->Y C00-X,5.529100000001286e-05,0.0,5.529100000001286e-05,,6,0.0004370420000000541,100,100,0,0,0,3,0.0,0.0,1,0.0,1,100,100,0,0,1.0,0.0,0.0
c03_s01_cov050_seed00000008_bw000,3,1,0.5,0.0,8,X,Y,1,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y W->Y X->C02 X->Y C00-X,6.625000000004544e-05,0.0,6.625000000004544e-05,,6,0.000429542000000005,100,100,0,0,0,3,0.0,0.0,1,0.0,1,100,100,0,0,1.0,0.0,0.0
c03_s01_cov050_seed00000009_bw000,3,1,0.5,0.0,9,X,Y,2,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y W->Y X->Y C00-X C02-X,0.00017462499999998382,0.0,0.00017462499999998382,,19,0.0020020830000000434,200,200,0,0,0,4,0.31500000000000006,0.45,2,0.36000000000000004,2,200,200,0,0,1.0,0.0,0.0
