instance_id,base_instance_id,arm,gate,component_size,separation,coverage,base_wrongness,seed,x,y,n_k,shd_truth,shd_cpdag,undirected_fraction,z_size,z_star,s0_ok,r_val,r_status,r_method,r_oracle,r_exact,r_assumes,r_witness,r_search_seconds,r_ladder_seconds,r_total_seconds,wall_until_timeout_s,r_stat_elements_visited,r_stat_closures,r_stat_validity_checks,r_stat_extensions_enumerated,AUC_frac_n200,AUC_frac_n1000,AUC_frac_usable_n1000,n_depths_evaluated_n200,n_depths_evaluated_n1000,n_usable_depths_n200,n_usable_depths_n1000,se_auc_frac_n200,se_auc_frac_n1000
c06_s01_cov100_seed00000001_bw025,c06_s01_cov100_seed00000001,flip,fast_gate,6,1,1.0,0.25,1,X,Y,6,4,6,0.6666666666666666,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y C03->C00 C03->C04 C03->X C04->C05 W->Y X->Y C00-X,0.00025783399996726075,0.0,0.00025783399996726075,,1,6,4,0,0.3982595953518261,0.4520522620833357,0.4520522620833357,6,6,3,3,0.04943701041200692,0.0259412536702156
c06_s01_cov100_seed00000007_bw025,c06_s01_cov100_seed00000007,flip,fast_gate,6,1,1.0,0.25,7,X,Y,5,2,5,0.625,1,W,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C03->C04 W->Y X->C02 X->C03 X->C05 X->Y C00-X,0.0002918330001193681,0.0,0.0002918330001193681,,1,5,5,0,0.9478260869565217,0.9287356321839081,0.9287356321839081,5,5,1,2,0.008961635522997462,0.00456270351628536
c06_s01_cov100_seed00000008_bw025,c06_s01_cov100_seed00000008,flip,fast_gate,6,1,1.0,0.25,8,X,Y,5,2,5,0.625,1,W,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C03 C00->Y C02->C04 C03->C05 W->Y X->C02 X->Y C00-X,0.00021116599987180962,0.0,0.00021116599987180962,,1,5,3,0,0.20947368421052634,0.23083201685097418,0.23083201685097418,5,5,2,3,0.023414568494568706,0.010309360976881943
c06_s01_cov100_seed00000010_bw025,c06_s01_cov100_seed00000010,flip,fast_gate,6,1,1.0,0.25,10,X,Y,7,4,7,0.7,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C05 C00->Y C02->C00 C02->C03 C02->C04 C02->X W->Y X->C05 X->Y C00-X,0.00030845799983580946,0.0,0.00030845799983580946,,1,7,5,0,0.3206421601996823,0.3329712857922926,0.3329712857922926,7,7,2,5,0.03401043509061462,0.015293853496607219
c06_s01_cov100_seed00000012_bw025,c06_s01_cov100_seed00000012,flip,fast_gate,6,1,1.0,0.25,12,X,Y,7,4,7,0.7,1,W,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C03 C00->C04 C00->C05 C00->Y C05->C04 W->Y X->C02 X->C03 X->Y C00-X,0.0003590420001273742,0.0,0.0003590420001273742,,1,7,3,0,0.20129227053140095,0.22063630376803536,0.22063630376803536,7,7,3,5,0.013716431383457073,0.00686514630179925
c06_s01_cov100_seed00000021_bw025,c06_s01_cov100_seed00000021,flip,fast_gate,6,1,1.0,0.25,21,X,Y,5,2,5,0.625,1,W,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C05 C00->Y C02->C03 W->Y X->C04 X->Y C00-X,0.00022387500007425842,0.0,0.00022387500007425842,,1,5,3,0,0.17037037037037037,0.13698979591836732,0.13698979591836732,5,5,2,3,0.016512265553694554,0.007547592971785143
c06_s01_cov100_seed00000023_bw025,c06_s01_cov100_seed00000023,flip,fast_gate,6,1,1.0,0.25,23,X,Y,6,4,6,0.6666666666666666,1,W,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->C05 C00->Y C02->C04 C03->C02 W->Y X->Y C00-X,0.00021345799996197456,0.0,0.00021345799996197456,,1,6,2,0,0.08064516129032258,0.09244186046511628,0.09244186046511628,6,6,4,5,0.012459864739675388,0.005376216608330045
c06_s01_cov100_seed00000024_bw025,c06_s01_cov100_seed00000024,flip,fast_gate,6,1,1.0,0.25,24,X,Y,5,2,5,0.625,1,W,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->C04 C00->Y C02->C05 W->Y X->Y C00-X,0.00018966600009662216,0.0,0.00018966600009662216,,1,5,2,0,0.0,0.0,0.0,5,5,2,3,0.0,0.0
c06_s01_cov100_seed00000026_bw025,c06_s01_cov100_seed00000026,flip,fast_gate,6,1,1.0,0.25,26,X,Y,7,4,7,0.7,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C03 C00->Y C02->C00 C02->C04 C02->C05 C02->X W->Y X->C03 X->Y C00-X,0.0003296659999705298,0.0,0.0003296659999705298,,1,7,5,0,0.35762636974195827,0.34120856984572595,0.34120856984572595,7,7,2,5,0.032631422926298656,0.015123669046399616
c06_s01_cov100_seed00000031_bw025,c06_s01_cov100_seed00000031,flip,fast_gate,6,1,1.0,0.25,31,X,Y,7,4,7,0.7,2,"C00,W",True,3,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C05 C00->Y C02->C03 C02->C05 W->Y X->Y C00-C04 C00-X C02-X,0.001259709000123621,0.0,0.001259709000123621,,5,30,10,0,0.5956521739130435,0.6243333333333335,0.6243333333333335,7,7,1,4,0.054278108131582944,0.023902421231765218
c06_s01_cov100_seed00000035_bw025,c06_s01_cov100_seed00000035,flip,fast_gate,6,1,1.0,0.25,35,X,Y,6,4,6,0.6666666666666666,1,W,True,2,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C04 C00->Y C02->C04 C02->C05 W->Y X->Y C00-X C03-X,0.0004592919999595324,0.0,0.0004592919999595324,,2,11,4,0,0.29411764705882354,0.2915492957746479,0.2915492957746479,6,6,4,5,0.017120161767270565,0.008361795075699792
c06_s01_cov100_seed00000036_bw025,c06_s01_cov100_seed00000036,flip,fast_gate,6,1,1.0,0.25,36,X,Y,5,2,5,0.625,1,W,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->Y C02->C05 C03->C04 W->Y X->Y C00-X,0.00020300000005590846,0.0,0.00020300000005590846,,1,5,2,0,0.0,0.0,0.0,5,5,3,3,0.0,0.0
c06_s01_cov100_seed00000040_bw025,c06_s01_cov100_seed00000040,flip,fast_gate,6,1,1.0,0.25,40,X,Y,5,2,5,0.625,2,"C00,W",True,2,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C05 C00->Y C02->C03 W->Y X->C02 X->Y C00-C04 C00-X,0.0003331670000079612,0.0,0.0003331670000079612,,2,9,3,0,0.38421052631578945,0.3989010989010989,0.3989010989010989,5,5,3,4,0.01601865074216173,0.007412045592830052
