instance_id,base_instance_id,arm,gate,component_size,separation,separation_status,coverage,base_wrongness,n_tiers,seed,x,y,n_k,shd_truth,shd_cpdag,k_g0,undirected_fraction,z_size,z_star,phi_1,phi_1_n_broken,phi_1_n_inconsistent,r_claim,r_claim_censored,r_claim_cap,s0_ok,r_val,r_status,r_method,r_oracle,r_exact,r_assumes,r_witness,r_search_seconds,r_ladder_seconds,r_total_seconds,wall_until_timeout_s,r_stat_elements_visited,r_stat_closures,r_stat_validity_checks,r_stat_extensions_enumerated,AUC_frac,AUC_abs,n_depths_evaluated,n_depths_all_contradictory,anchor,n_admissible_queries
u2_c06_seed00000000_xC04_tiered_nt3,u2_c06_seed00000000_xC04,tiered_unconfounded,fast_gate,6,1,measured,,,3,0,C04,Y,6,1,6,6,0.7,2,"C00,W",0.16666666666666666,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (proved: Anti-Exchange Case B, THEOREMS.md section 4)",C00->C02 C00->C03 C00->Y C01->C02 C01->C03 C03->C05 C04->Y W->Y C00-C01 C00-C04,0.00025587499840185046,0.0,0.0004262910078978166,,1,6,4,0,0.6861299763221026,3.222104106398071,7,3,C00,3
u2_c06_seed00000000_xC04_tiered_nt4,u2_c06_seed00000000_xC04,tiered_unconfounded,fast_gate,6,1,measured,,,4,0,C04,Y,7,0,7,7,0.7,2,"C00,W",0.14285714285714285,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (proved: Anti-Exchange Case B, THEOREMS.md section 4)",C00->C01 C00->C02 C00->C03 C00->Y C01->C02 C01->C03 C03->C05 C04->Y W->Y C00-C04,0.00021379099052865058,0.0,0.0003527910012053326,,1,7,4,0,0.9636718836718836,3.6610970869035384,7,3,C00,3
u2_c06_seed00000001_xC01_tiered_nt4,u2_c06_seed00000001_xC01,tiered_unconfounded,fast_gate,6,1,measured,,,4,1,C01,Y,5,0,6,6,0.6666666666666666,2,"C00,W",0.2,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (proved: Anti-Exchange Case B, THEOREMS.md section 4)",C00->C02 C00->C03 C00->Y C01->C03 C01->Y C03->C04 C04->C05 W->Y C00-C01,0.00020841699733864516,0.0,0.00028545898385345936,,1,6,4,0,0.43730564611295736,2.6132281006384117,7,2,C00,2
u2_c06_seed00000002_xC05_tiered_nt2,u2_c06_seed00000002_xC05,tiered_unconfounded,fast_gate,6,1,measured,,,2,2,C05,Y,4,2,4,4,0.6666666666666666,2,"C00,W",0.25,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (proved: Anti-Exchange Case B, THEOREMS.md section 4)",C00->C02 C00->Y C01->C02 C01->C04 C05->Y W->Y C00-C01 C00-C03 C00-C05,0.00024183400091715157,0.0,0.00036783401446882635,,1,4,4,0,0.7965416582775662,3.144016808937186,5,1,C00,5
u2_c06_seed00000002_xC05_tiered_nt3,u2_c06_seed00000002_xC05,tiered_unconfounded,fast_gate,6,1,measured,,,3,2,C05,Y,5,1,5,5,0.6666666666666666,2,"C00,W",0.2,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (proved: Anti-Exchange Case B, THEOREMS.md section 4)",C00->C02 C00->C03 C00->Y C01->C02 C01->C04 C05->Y W->Y C00-C01 C00-C05,0.00020883399702142924,0.0,0.0003212509909644723,,1,5,4,0,0.7917093563202029,3.313375518853377,6,2,C00,5
u2_c06_seed00000002_xC05_tiered_nt4,u2_c06_seed00000002_xC05,tiered_unconfounded,fast_gate,6,1,measured,,,4,2,C05,Y,6,0,6,6,0.6666666666666666,2,"C00,W",0.16666666666666666,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (proved: Anti-Exchange Case B, THEOREMS.md section 4)",C00->C01 C00->C02 C00->C03 C00->Y C01->C02 C01->C04 C05->Y W->Y C00-C05,0.00017779199697542936,0.0,0.00030324999534059316,,1,6,3,0,0.9696731905465288,3.763040254808521,7,3,C00,5
u2_c06_seed00000003_xC03_tiered_nt3,u2_c06_seed00000003_xC03,tiered_unconfounded,fast_gate,6,1,measured,,,3,3,C03,Y,5,2,5,5,0.7,2,"C00,W",0.2,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (proved: Anti-Exchange Case B, THEOREMS.md section 4)",C00->C02 C00->C04 C00->Y C01->C02 C02->C05 C03->Y W->Y C00-C01 C00-C03 C03-C04,0.00033837500086519867,0.0,0.000461667004856281,,1,5,4,0,0.6223176028919198,3.4955527632440395,7,2,C00,3
u2_c06_seed00000003_xC03_tiered_nt4,u2_c06_seed00000003_xC03,tiered_unconfounded,fast_gate,6,1,measured,,,4,3,C03,Y,7,0,7,7,0.7,2,"C00,W",0.14285714285714285,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (proved: Anti-Exchange Case B, THEOREMS.md section 4)",C00->C01 C00->C02 C00->C04 C00->Y C01->C02 C02->C05 C03->C04 C03->Y W->Y C00-C03,0.0002376670017838478,0.0,0.00034933400456793606,,1,7,4,0,0.6153362062419319,3.563948675157067,7,2,C00,3
u2_c06_seed00000004_xC04_tiered_nt2,u2_c06_seed00000004_xC04,tiered_unconfounded,fast_gate,6,4,measured,,,2,4,C04,Y,1,2,3,3,0.625,2,"C00,W",1.0,1,0,1,0,1,True,3,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (proved: Anti-Exchange Case B, THEOREMS.md section 4)",C00->Y C04->Y W->Y C00-C01 C00-C05 C01-C02 C02-C03 C03-C04,0.00030783300462644547,0.0,0.00042270800622645766,,3,6,4,0,0.9510785000218561,2.9021570000437125,6,3,C00,5
u2_c06_seed00000004_xC04_tiered_nt3,u2_c06_seed00000004_xC04,tiered_unconfounded,fast_gate,6,4,measured,,,3,4,C04,Y,3,1,4,4,0.625,2,"C00,W",0.0,0,0,2,0,3,True,3,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (proved: Anti-Exchange Case B, THEOREMS.md section 4)",C00->C05 C00->Y C04->Y W->Y C00-C01 C01-C02 C02-C03 C03-C04,0.0004787499929079786,0.0,0.00057366699911654,,4,12,6,0,0.9910651018802945,3.965401172499036,6,2,C00,5
u2_c06_seed00000004_xC04_tiered_nt4,u2_c06_seed00000004_xC04,tiered_unconfounded,fast_gate,6,4,measured,,,4,4,C04,Y,4,0,5,5,0.625,2,"C00,W",0.0,0,0,3,0,3,True,4,ok,e1_ladder,mpdag_criterion,True,"Conjecture 2 (proved: Anti-Exchange Case B, THEOREMS.md section 4)","(('C00', 'C05'), ('C00', 'Y'), ('C04', 'Y'), ('W', 'Y'))",0.0005765410023741424,0.014505375002045184,0.01517545800015796,,7,21,7,0,0.9964272933317428,3.987086961708219,6,2,C00,5
u2_c06_seed00000005_xC02_tiered_nt3,u2_c06_seed00000005_xC02,tiered_unconfounded,fast_gate,6,2,measured,,,3,5,C02,Y,4,1,5,5,0.6666666666666666,2,"C00,W",0.25,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (proved: Anti-Exchange Case B, THEOREMS.md section 4)",C00->Y C01->C04 C01->C05 C02->C03 C02->C04 C02->Y W->Y C00-C01 C01-C02,0.00025220900715794414,0.0,0.00036320899380370975,,1,5,4,0,0.534331039403002,2.825040643978131,7,2,C00,5
