instance_id,base_instance_id,arm,gate,component_size,separation,coverage,base_wrongness,seed,x,y,n_k,shd_truth,shd_cpdag,undirected_fraction,z_size,z_star,s0_ok,r_val,r_status,r_method,r_oracle,r_exact,r_assumes,r_witness,r_search_seconds,r_ladder_seconds,r_total_seconds,wall_until_timeout_s,r_stat_elements_visited,r_stat_closures,r_stat_validity_checks,r_stat_extensions_enumerated,AUC_frac_n200,AUC_frac_n1000,AUC_frac_usable_n1000,n_depths_evaluated_n200,n_depths_evaluated_n1000,n_usable_depths_n200,n_usable_depths_n1000,se_auc_frac_n200,se_auc_frac_n1000
c06_s01_cov050_seed00000000_bw025,c06_s01_cov050_seed00000000,flip,fast_gate,6,1,0.5,0.25,0,X,Y,4,5,6,0.7,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C04 C00->Y C03->C00 C03->X W->Y X->C02 X->Y C00-X C03-C05,0.00027550000000076125,0.0,0.00027550000000076125,,1,6,3,0,0.36577319587628865,0.3676913927582973,0.3676913927582973,4,4,3,3,0.019649442194550427,0.00887248492329753
c06_s01_cov050_seed00000001_bw025,c06_s01_cov050_seed00000001,flip,fast_gate,6,1,0.5,0.25,1,X,Y,3,3,5,0.6666666666666666,2,"C00,W",True,2,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C03 C00->Y C03->C04 C04->C05 W->Y X->Y C00-C02 C00-X C03-X,0.0004177080000005162,0.0,0.0004177080000005162,,2,9,3,0,0.6669172932330827,0.6504518072289156,0.6504518072289156,3,3,3,3,0.012923664018057082,0.005821102536832617
c06_s01_cov050_seed00000002_bw025,c06_s01_cov050_seed00000002,flip,fast_gate,6,1,0.5,0.25,2,X,Y,3,3,5,0.6666666666666666,1,W,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->C05 C00->Y W->Y X->C02 X->Y C00-X C04-X,0.0002210420000068325,0.0,0.0002210420000068325,,1,5,2,0,0.0,0.0,0.0,3,3,2,2,0.0,0.0
c06_s01_cov050_seed00000003_bw025,c06_s01_cov050_seed00000003,flip,fast_gate,6,1,0.5,0.25,3,X,Y,4,6,5,0.7,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C03 C00->C04 C00->Y C02->C00 C02->X W->Y X->Y C00-X C02-C05 C03-C04,0.00027708300000028885,0.0,0.00027708300000028885,,1,5,3,0,0.7319148936170213,0.7479467186484731,0.7479467186484731,4,4,3,3,0.022279656543149368,0.009475005230168577
c06_s01_cov050_seed00000004_bw025,c06_s01_cov050_seed00000004,flip,fast_gate,6,1,0.5,0.25,4,X,Y,2,0,5,0.625,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C05 C00->Y C02->C03 C03->C04 W->Y X->C02 X->Y C00-X,0.0001587499999970987,0.0,0.0001587499999970987,,1,5,2,0,0.5649999999999998,0.5019999999999999,0.5019999999999999,2,2,1,1,0.035055313434627845,0.01581126180922952
c06_s01_cov050_seed00000005_bw025,c06_s01_cov050_seed00000005,flip,fast_gate,6,1,0.5,0.25,5,X,Y,3,5,3,0.6666666666666666,1,W,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C02->C03 C02->C04 W->Y X->Y C00-X C02-X C04-X C05-X,0.0002523329999917223,0.0,0.0002523329999917223,,1,3,2,0,0.35,0.338,0.338,3,3,2,2,0.016201851746019652,0.007399729724794008
c06_s01_cov050_seed00000006_bw025,c06_s01_cov050_seed00000006,flip,fast_gate,6,1,0.5,0.25,6,X,Y,2,0,5,0.625,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y C02->C04 W->Y X->C03 X->C05 X->Y C00-X,0.00017400000000122873,0.0,0.00017400000000122873,,1,5,2,0,0.485,0.5090000000000001,0.5090000000000001,2,2,1,1,0.03533942557541081,0.0158088266484265
c06_s01_cov050_seed00000007_bw025,c06_s01_cov050_seed00000007,flip,fast_gate,6,1,0.5,0.25,7,X,Y,2,0,5,0.625,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C03->C04 W->Y X->C02 X->C03 X->C05 X->Y C00-X,0.00018008300000360578,0.0,0.00018008300000360578,,1,5,2,0,0.0,0.0,0.0,2,2,2,2,0.0,0.0
c06_s01_cov050_seed00000008_bw025,c06_s01_cov050_seed00000008,flip,fast_gate,6,1,0.5,0.25,8,X,Y,2,0,5,0.625,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C03 C00->Y C02->C04 C03->C05 W->Y X->C02 X->Y C00-X,0.0001610839999983682,0.0,0.0001610839999983682,,1,5,2,0,0.4800000000000001,0.492,0.492,2,2,1,1,0.03532704346531138,0.015809364313595912
c06_s01_cov050_seed00000009_bw025,c06_s01_cov050_seed00000009,flip,fast_gate,6,1,0.5,0.25,9,X,Y,3,5,5,0.6666666666666666,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C02->C00 C02->C03 C02->X C03->C05 W->Y X->Y C00-X C02-C04,0.0002517500000038808,0.0,0.0002517500000038808,,1,5,4,0,0.3275,0.334,0.334,3,3,2,2,0.016806806656828058,0.0074460727904043485
c06_s01_cov050_seed00000010_bw025,c06_s01_cov050_seed00000010,flip,fast_gate,6,1,0.5,0.25,10,X,Y,4,5,6,0.7,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C05 C00->Y C02->C00 C02->C03 C02->X W->Y X->C05 X->Y C00-X C02-C04,0.00029558399999984886,0.0,0.00029558399999984886,,1,6,4,0,0.2860799394779977,0.29838935574229697,0.29838935574229697,4,4,3,3,0.017637372575002818,0.008278815581861483
c06_s01_cov050_seed00000011_bw025,c06_s01_cov050_seed00000011,flip,fast_gate,6,1,0.5,0.25,11,X,Y,3,3,5,0.6666666666666666,1,W,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->C04 C00->C05 C00->Y W->Y X->Y C00-X C02-C04,0.00021841599999561367,0.0,0.00021841599999561367,,1,5,2,0,0.0,0.0,0.0,3,3,2,2,0.0,0.0
