instance_id,base_instance_id,arm,gate,component_size,separation,coverage,base_wrongness,n_tiers,seed,x,y,n_k,shd_truth,shd_cpdag,undirected_fraction,z_size,z_star,s0_ok,r_val,r_status,r_method,r_oracle,r_exact,r_assumes,r_witness,r_search_seconds,r_ladder_seconds,r_total_seconds,wall_until_timeout_s,r_stat_elements_visited,r_stat_closures,r_stat_validity_checks,r_stat_extensions_enumerated,AUC_frac,AUC_abs,n_depths_evaluated,n_depths_all_contradictory
c06_s01_cov050_seed00000000_bw000,c06_s01_cov050_seed00000000,flip,fast_gate,6,1,0.5,0.0,,0,X,Y,4,2,5,0.7,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->C04 C00->Y C03->C05 W->Y X->Y C00-X C02-X C03-X,0.0002822499999999839,0.0,0.0002822499999999839,,1,5,2,0,0.231,0.77,4,2
c06_s01_cov050_seed00000001_bw000,c06_s01_cov050_seed00000001,flip,fast_gate,6,1,0.5,0.0,,1,X,Y,3,1,5,0.6666666666666666,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->Y C03->C04 C04->C05 W->Y X->Y C00-X C03-X,0.00019570900000004388,0.0,0.00019570900000004388,,1,5,2,0,0.325,0.65,3,1
c06_s01_cov050_seed00000002_bw000,c06_s01_cov050_seed00000002,flip,fast_gate,6,1,0.5,0.0,,2,X,Y,3,2,4,0.6666666666666666,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->Y W->Y X->C04 X->Y C00-C05 C00-X C02-X,0.00022445800000003846,0.0,0.00022445800000003846,,1,4,2,0,0.3125,0.625,3,1
c06_s01_cov050_seed00000003_bw000,c06_s01_cov050_seed00000003,flip,fast_gate,6,1,0.5,0.0,,3,X,Y,4,2,5,0.7,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->C04 C00->Y C02->C05 W->Y X->Y C00-X C02-X C03-C04,0.00021645799999991944,0.0,0.00021645799999991944,,1,5,2,0,0.6444999999999999,1.3292857142857142,4,2
c06_s01_cov050_seed00000004_bw000,c06_s01_cov050_seed00000004,flip,fast_gate,6,1,0.5,0.0,,4,X,Y,2,0,5,0.625,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C05 C00->Y C02->C03 C03->C04 W->Y X->C02 X->Y C00-X,0.00015012500000000095,0.0,0.00015012500000000095,,1,5,2,0,0.5250000000000001,0.525,2,1
c06_s01_cov050_seed00000005_bw000,c06_s01_cov050_seed00000005,flip,fast_gate,6,1,0.5,0.0,,5,X,Y,3,0,6,0.6666666666666666,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C02->C03 C02->C04 W->Y X->C02 X->C04 X->C05 X->Y C00-X,0.0002211250000000442,0.0,0.0002211250000000442,,1,6,3,0,0.2440944881889764,0.4881889763779528,3,1
c06_s01_cov050_seed00000006_bw000,c06_s01_cov050_seed00000006,flip,fast_gate,6,1,0.5,0.0,,6,X,Y,2,0,5,0.625,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y C02->C04 W->Y X->C03 X->C05 X->Y C00-X,0.00015495899999995455,0.0,0.00015495899999995455,,1,5,2,0,0.4800000000000001,0.48,2,1
c06_s01_cov050_seed00000007_bw000,c06_s01_cov050_seed00000007,flip,fast_gate,6,1,0.5,0.0,,7,X,Y,2,0,5,0.625,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C03->C04 W->Y X->C02 X->C03 X->C05 X->Y C00-X,0.00015925000000005518,0.0,0.00015925000000005518,,1,5,2,0,0.0,0.0,2,0
c06_s01_cov050_seed00000008_bw000,c06_s01_cov050_seed00000008,flip,fast_gate,6,1,0.5,0.0,,8,X,Y,2,0,5,0.625,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C03 C00->Y C02->C04 C03->C05 W->Y X->C02 X->Y C00-X,0.00014658300000003344,0.0,0.00014658300000003344,,1,5,2,0,0.5549999999999999,0.555,2,1
c06_s01_cov050_seed00000009_bw000,c06_s01_cov050_seed00000009,flip,fast_gate,6,1,0.5,0.0,,9,X,Y,3,1,5,0.6666666666666666,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y C02->C03 C02->C04 C03->C05 W->Y X->Y C00-X C02-X,0.00022175000000002054,0.0,0.00022175000000002054,,1,5,2,0,0.41047763293124895,1.0223941147833613,3,0
