network,tier,query,r_claim,safe_moves,first_failing_retraction,free_rule,r_hop,claims_asserted,audit_named_claim_false,audit_set_at_truth,audit_severity
Acid_1996,T2,x1 -> x10,1,0,x4->x1,1,1,1,True,invalid,validity
Acid_1996,T2,x1 -> x11,1,0,x4->x1,1,1,1,True,invalid,validity
Acid_1996,T2,x1 -> x12,1,0,x4->x1,1,1,1,True,invalid,validity
Acid_1996,T2,x1 -> x13,1,0,x4->x1,1,1,1,True,invalid,validity
Acid_1996,T2,x1 -> x14,unreached,,,undefined,-1,1,,valid,benign
Acid_1996,T2,x1 -> x15,1,0,x4->x1,1,1,1,True,invalid,validity
Acid_1996,T2,x1 -> x16,unreached,,,undefined,-1,1,,valid,benign
Acid_1996,T2,x1 -> x17,1,0,x4->x1,1,1,1,True,invalid,validity
Acid_1996,T2,x1 -> x18,1,0,x4->x1,1,1,1,True,invalid,validity
Acid_1996,T2,x1 -> x3,unreached,,,undefined,-1,1,,valid,benign
Acid_1996,T2,x1 -> x5,1,0,x4->x1,1,1,1,True,invalid,validity
Acid_1996,T2,x1 -> x6,unreached,,,undefined,-1,1,,valid,benign
Acid_1996,T2,x1 -> x7,1,0,x4->x1,1,1,1,True,invalid,validity
Acid_1996,T2,x1 -> x9,1,0,x4->x1,1,1,1,True,invalid,validity
Acid_1996,T2,x4 -> x1,1,0,x4->x1,undefined,1,1,True,invalid,validity
Acid_1996,T2,x4 -> x10,1,0,x4->x1,undefined,1,1,True,invalid,validity
Acid_1996,T2,x4 -> x11,1,0,x4->x1,undefined,1,1,True,invalid,validity
Acid_1996,T2,x4 -> x12,1,0,x4->x1,undefined,1,1,True,invalid,validity
Acid_1996,T2,x4 -> x13,1,0,x4->x1,undefined,1,1,True,invalid,validity
Didelez_2010,T2,Age -> HRT,1,0,Age->Occ,undefined,1,1,False,valid,benign
Didelez_2010,T2,Age -> Occ,1,0,Age->Occ,undefined,1,1,False,valid,benign
Didelez_2010,T2,Age -> S,1,0,Age->Occ,undefined,1,1,False,valid,benign
Didelez_2010,T2,Age -> Smo,1,0,Age->Occ,undefined,1,1,False,valid,benign
Didelez_2010,T2,Age -> TCI,1,0,Age->Occ,undefined,1,1,False,valid,benign
Didelez_2010,T2,Age -> Thist,1,0,Age->Occ,undefined,1,1,False,valid,benign
Didelez_2010,T2,Occ -> HRT,1,0,Age->Occ,1,1,1,False,valid,benign
Didelez_2010,T2,Occ -> S,1,0,Age->Occ,1,1,1,False,valid,benign
Didelez_2010,T2,Occ -> Smo,1,0,Age->Occ,undefined,2,1,False,valid,benign
Didelez_2010,T2,Occ -> TCI,1,0,Age->Occ,1,1,1,False,valid,benign
Didelez_2010,T2,Occ -> Thist,1,0,Age->Occ,undefined,2,1,False,valid,benign
Didelez_2010,T2,Smo -> HRT,1,0,Age->Occ,2,2,1,False,valid,benign
Didelez_2010,T2,Smo -> S,1,0,Age->Occ,2,2,1,False,valid,benign
Didelez_2010,T2,Smo -> TCI,1,0,Age->Occ,2,2,1,False,valid,benign
Kampen_2014,T2,AFF -> AIS,1,0,AFF->ALN,undefined,1,8,False,invalid,validity
Kampen_2014,T2,AFF -> CDR,1,0,AFF->ALN,undefined,1,8,False,invalid,validity
Kampen_2014,T2,AFF -> FTW,1,0,AFF->ALN,undefined,1,8,False,invalid,validity
Kampen_2014,T2,AFF -> SAN,1,0,AFF->ALN,undefined,1,8,False,invalid,validity
Kampen_2014,T2,AIS -> DET,3,2,ALN->SAN and APA->SAN and SAN->AIS,2,3,8,True,invalid,validity
Kampen_2014,T2,AIS -> HOS,3,2,ALN->SAN and APA->SAN and SAN->AIS,2,3,8,True,invalid,validity
Kampen_2014,T2,AIS -> SUS,3,2,ALN->SAN and APA->SAN and SAN->AIS,2,3,8,True,invalid,validity
Kampen_2014,T2,ALN -> PER,2,1,AFF->ALN and ALN->PER,1,1,8,False,valid,efficiency
Kampen_2014,T2,CDR -> DET,2,1,ALN->SAN and APA->SAN,2,3,8,True,valid,benign
Polzer_2012,T2,Caries -> Diabetes,1,0,Caries->Psychosocial,undefined,1,4,True,invalid,validity
Polzer_2012,T2,Caries -> Mortality,1,0,Caries->Psychosocial,undefined,1,4,True,invalid,validity
Polzer_2012,T2,Caries -> Psychosocial,1,0,Caries->Psychosocial,undefined,1,4,True,invalid,validity
Polzer_2012,T2,Caries -> ToothLoss,1,0,Caries->Psychosocial,undefined,1,4,True,invalid,validity
Polzer_2012,T2,Psychosocial -> Diabetes,1,0,Caries->Psychosocial,undefined,2,4,True,valid,benign
Polzer_2012,T2,Psychosocial -> Mortality,1,0,Caries->Psychosocial,1,1,4,True,invalid,validity
Polzer_2012,T2,Psychosocial -> Smoking,1,0,Caries->Psychosocial,undefined,2,4,True,valid,benign
Schipf_2010,T2,A -> PA,1,0,A->PA,undefined,1,5,False,valid,benign
Schipf_2010,T2,A -> S,1,0,A->S,undefined,1,5,False,valid,benign
Schipf_2010,T2,A -> T2DM,1,0,A->PA,undefined,1,5,False,valid,benign
Schipf_2010,T2,A -> TT,1,0,A->PA,undefined,1,5,False,valid,benign
Schipf_2010,T2,A -> U,1,0,A->PA,undefined,1,5,False,valid,benign
Schipf_2010,T2,A -> WC,1,0,A->PA,undefined,1,5,False,valid,benign
Schipf_2010,T2,PA -> T2DM,1,0,A->PA,1,1,5,False,valid,benign
Schipf_2010,T2,PA -> TT,1,0,A->PA,1,1,5,False,valid,benign
Schipf_2010,T2,PA -> U,1,0,A->PA,1,1,5,False,valid,benign
Schipf_2010,T2,PA -> WC,1,0,A->PA,1,1,5,False,valid,benign
Schipf_2010,T2,S -> T2DM,1,0,A->S,2,1,5,False,valid,benign
Schipf_2010,T2,S -> TT,1,0,A->S,1,1,5,False,valid,benign
Sebastiani_2005,T2,ANXA2.5 -> ANXA2.11,1,0,ANXA2.5->ANXA2.7,undefined,1,4,True,invalid,validity
Sebastiani_2005,T2,ANXA2.8 -> ANXA2.7,gt_3,,,undefined,-1,4,,valid,benign
Sebastiani_2005,T2,BMP6 -> BMP6.13,gt_3,,,undefined,-1,4,,valid,benign
Sebastiani_2005,T2,CAT -> CSF2.4,gt_3,,,undefined,-1,4,,valid,benign
Sebastiani_2005,T2,CAT -> SELP.12,gt_3,,,undefined,-1,4,,valid,benign
Sebastiani_2005,T2,EDN1.9 -> ANXA2.12,gt_3,,,undefined,-1,4,,valid,benign
Sebastiani_2005,T2,EDNI1.6 -> EDN1.10,gt_3,,,undefined,-1,4,,valid,benign
Sebastiani_2005,T2,Stroke -> BMP6.9,gt_3,,,undefined,-1,4,,valid,benign
Sebastiani_2005,T2,Stroke -> SELP.17,gt_3,,,undefined,-1,4,,valid,benign
Sebastiani_2005,T2,TGFBR3.8 -> BMP6.10,1,0,TGFBR3.8->Stroke,undefined,1,4,True,invalid,validity
Shrier_2008,T2,Coach -> FitnessLevel,unreached,,,undefined,-1,2,,valid,benign
Shrier_2008,T2,Coach -> IntraGameProprioception,1,0,Coach->TeamMotivation,undefined,1,2,False,valid,benign
Shrier_2008,T2,Coach -> PreGameProprioception,unreached,,,undefined,-1,2,,valid,benign
Shrier_2008,T2,Coach -> TeamMotivation,1,0,Coach->TeamMotivation,undefined,1,2,False,valid,benign
Shrier_2008,T2,ConnectiveTissueDisorder -> Injury,1,0,Genetics->ConnectiveTissueDisorder,1,1,2,False,valid,benign
Shrier_2008,T2,ConnectiveTissueDisorder -> NeuromuscularFatigue,1,0,Genetics->ConnectiveTissueDisorder,1,1,2,False,valid,benign
Shrier_2008,T2,ConnectiveTissueDisorder -> TissueWeakness,1,0,Genetics->ConnectiveTissueDisorder,undefined,2,2,False,valid,benign
Shrier_2008,T2,Genetics -> ConnectiveTissueDisorder,1,0,Genetics->ConnectiveTissueDisorder,undefined,1,2,False,valid,benign
Shrier_2008,T2,Genetics -> Injury,1,0,Genetics->ConnectiveTissueDisorder,undefined,1,2,False,valid,benign
Shrier_2008,T2,Genetics -> NeuromuscularFatigue,1,0,Genetics->ConnectiveTissueDisorder,undefined,1,2,False,valid,benign
Shrier_2008,T2,Genetics -> TissueWeakness,1,0,Genetics->ConnectiveTissueDisorder,undefined,1,2,False,valid,benign
Shrier_2008,T2,TeamMotivation -> Injury,1,0,Coach->TeamMotivation,undefined,1,2,False,valid,benign
Shrier_2008,T2,TeamMotivation -> PreviousInjury,unreached,,,undefined,-1,2,,valid,benign
Thoemmes_2013,T2,e0 -> s1,1,0,e0->x,undefined,1,1,False,valid,benign
Thoemmes_2013,T2,e0 -> s2,1,0,e0->x,undefined,1,1,False,valid,benign
Thoemmes_2013,T2,e0 -> s3,1,0,e0->x,undefined,1,1,False,valid,benign
Thoemmes_2013,T2,e0 -> x,1,0,e0->x,undefined,1,1,False,valid,benign
Thoemmes_2013,T2,e0 -> y,1,0,e0->x,undefined,1,1,False,valid,benign
Thoemmes_2013,T2,e0 -> z,1,0,e0->x,undefined,1,1,False,valid,benign
Thoemmes_2013,T2,e0 -> z2,1,0,e0->x,undefined,1,1,False,valid,benign
Thoemmes_2013,T2,e0 -> z3,1,0,e0->x,undefined,1,1,False,valid,benign
Thoemmes_2013,T2,x -> s1,unreached,,,undefined,-1,1,,valid,benign
Thoemmes_2013,T2,x -> s2,unreached,,,undefined,-1,1,,valid,benign
Thoemmes_2013,T2,x -> s3,unreached,,,undefined,-1,1,,valid,benign
Thoemmes_2013,T2,x -> y,unreached,,,undefined,-1,1,,valid,benign
Thoemmes_2013,T2,x -> z,unreached,,,undefined,-1,1,,valid,benign
Thoemmes_2013,T2,x -> z2,unreached,,,undefined,-1,1,,valid,benign
Thoemmes_2013,T2,x -> z3,unreached,,,undefined,-1,1,,valid,benign
alarm,T1,ANAPHYLAXIS -> BP,1,0,ANAPHYLAXIS->TPR,undefined,1,1,False,valid,benign
alarm,T1,ANAPHYLAXIS -> HRBP,1,0,ANAPHYLAXIS->TPR,undefined,1,1,False,valid,benign
alarm,T1,LVFAILURE -> CO,unreached,,,undefined,-1,1,,valid,benign
alarm,T1,LVFAILURE -> PCWP,unreached,,,undefined,-1,1,,valid,benign
alarm,T1,PULMEMBOLUS -> HR,unreached,,,undefined,-1,1,,valid,benign
alarm,T1,TPR -> BP,unreached,,,undefined,-1,1,,valid,benign
alarm,T1,TPR -> HRBP,unreached,,,undefined,-1,1,,valid,benign
alarm,T1,VENTMACH -> BP,unreached,,,undefined,-1,1,,valid,benign
alarm,T1,VENTMACH -> HR,unreached,,,undefined,-1,1,,valid,benign
alarm,T1,VENTMACH -> MINVOL,unreached,,,undefined,-1,1,,valid,benign
andes,T1,GIVEN_1 -> SNode_100,1,0,GIVEN_1->RApp2,undefined,1,7,False,valid,benign
andes,T1,HORIZ53 -> SNode_118,1,0,HORIZ53->NORMAL52,undefined,1,7,True,invalid,validity
andes,T1,RApp2 -> GOAL_153,gt_3,,,undefined,>= 11,7,,valid,benign
andes,T1,RApp2 -> SNode_43,gt_3,,,undefined,>= 11,7,,valid,benign
andes,T1,TRY11 -> GOAL_81,gt_3,,,undefined,>= 11,7,,valid,benign
andes,T1,TRY11 -> SNode_43,gt_3,,,undefined,>= 11,7,,valid,benign
andes,T1,TRY24 -> GOAL_113,gt_3,,,undefined,>= 11,7,,valid,benign
andes,T1,TRY24 -> SNode_151,gt_3,,,undefined,>= 11,7,,valid,benign
arth150,T3,81 -> 464,censored_at_depth_3,,,undefined,>= 4,14,,valid,benign
asia,T1,asia -> dysp,1,0,asia->tub,undefined,1,3,False,valid,benign
asia,T1,asia -> either,1,0,asia->tub,undefined,1,3,False,valid,benign
asia,T1,asia -> tub,1,0,asia->tub,undefined,1,3,False,valid,benign
asia,T1,asia -> xray,1,0,asia->tub,undefined,1,3,False,valid,benign
asia,T1,bronc -> dysp,1,0,smoke->bronc,undefined,1,3,False,valid,benign
asia,T1,lung -> dysp,1,0,smoke->lung,2,1,3,False,valid,benign
asia,T1,lung -> either,unreached,,,undefined,-1,3,,valid,benign
asia,T1,lung -> xray,unreached,,,undefined,-1,3,,valid,benign
asia,T1,smoke -> bronc,1,0,smoke->bronc,undefined,1,3,False,valid,benign
asia,T1,smoke -> dysp,1,0,smoke->bronc,undefined,1,3,False,valid,benign
asia,T1,smoke -> either,1,0,smoke->lung,undefined,1,3,False,valid,benign
asia,T1,smoke -> lung,1,0,smoke->lung,undefined,1,3,False,valid,benign
