instance_id,base_instance_id,arm,gate,component_size,separation,separation_status,coverage,base_wrongness,n_tiers,seed,x,y,n_k,shd_truth,shd_cpdag,k_g0,undirected_fraction,z_size,z_star,phi_1,phi_1_n_broken,phi_1_n_inconsistent,r_claim,r_claim_censored,r_claim_cap,s0_ok,r_val,r_status,r_method,r_oracle,r_exact,r_assumes,r_witness,r_search_seconds,r_ladder_seconds,r_total_seconds,wall_until_timeout_s,r_stat_elements_visited,r_stat_closures,r_stat_validity_checks,r_stat_extensions_enumerated,AUC_frac,AUC_abs,n_depths_evaluated,n_depths_all_contradictory
c06_s01_cov050_seed00000000_bw000,c06_s01_cov050_seed00000000,flip,fast_gate,6,1,measured,0.5,0.0,,0,X,Y,4,2,5,5,0.7,2,"C00,W",0.25,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->C04 C00->Y C03->C05 W->Y X->Y C00-X C02-X C03-X,0.00030241600000002755,0.0,0.00030241600000002755,,1,5,2,0,0.23220000000000002,0.774,4,2
c06_s01_cov050_seed00000001_bw000,c06_s01_cov050_seed00000001,flip,fast_gate,6,1,measured,0.5,0.0,,1,X,Y,3,1,5,5,0.6666666666666666,2,"C00,W",0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->Y C03->C04 C04->C05 W->Y X->Y C00-X C03-X,0.00022612499999996594,0.0,0.00022612499999996594,,1,5,2,0,0.34,0.68,3,1
c06_s01_cov050_seed00000002_bw000,c06_s01_cov050_seed00000002,flip,fast_gate,6,1,measured,0.5,0.0,,2,X,Y,3,2,4,4,0.6666666666666666,2,"C00,W",0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->Y W->Y X->C04 X->Y C00-C05 C00-X C02-X,0.0002366249999998793,0.0,0.0002366249999998793,,1,4,2,0,0.32,0.64,3,1
c06_s01_cov050_seed00000003_bw000,c06_s01_cov050_seed00000003,flip,fast_gate,6,1,measured,0.5,0.0,,3,X,Y,4,2,5,5,0.7,2,"C00,W",0.25,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->C04 C00->Y C02->C05 W->Y X->Y C00-X C02-X C03-C04,0.00036558399999986335,0.0,0.00036558399999986335,,1,5,2,0,0.6150030303030303,1.3065757575757577,4,2
c06_s01_cov050_seed00000004_bw000,c06_s01_cov050_seed00000004,flip,fast_gate,6,1,measured,0.5,0.0,,4,X,Y,2,0,5,5,0.625,2,"C00,W",0.5,1,0,1,0,2,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C05 C00->Y C02->C03 C03->C04 W->Y X->C02 X->Y C00-X,0.00017554099999994577,0.0,0.00017554099999994577,,1,5,2,0,0.508,0.508,2,1
c06_s01_cov050_seed00000005_bw000,c06_s01_cov050_seed00000005,flip,fast_gate,6,1,measured,0.5,0.0,,5,X,Y,3,0,6,6,0.6666666666666666,2,"C00,W",0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C02->C03 C02->C04 W->Y X->C02 X->C04 X->C05 X->Y C00-X,0.00024033300000025903,0.0,0.00024033300000025903,,1,6,3,0,0.2545871559633027,0.5091743119266054,3,1
c06_s01_cov050_seed00000006_bw000,c06_s01_cov050_seed00000006,flip,fast_gate,6,1,measured,0.5,0.0,,6,X,Y,2,0,5,5,0.625,2,"C00,W",0.5,1,0,1,0,2,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y C02->C04 W->Y X->C03 X->C05 X->Y C00-X,0.00017312499999988518,0.0,0.00017312499999988518,,1,5,2,0,0.495,0.495,2,1
c06_s01_cov050_seed00000007_bw000,c06_s01_cov050_seed00000007,flip,fast_gate,6,1,measured,0.5,0.0,,7,X,Y,2,0,5,5,0.625,2,"C00,W",0.5,1,0,1,0,2,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C03->C04 W->Y X->C02 X->C03 X->C05 X->Y C00-X,0.0001816250000001851,0.0,0.0001816250000001851,,1,5,2,0,0.0,0.0,2,0
c06_s01_cov050_seed00000008_bw000,c06_s01_cov050_seed00000008,flip,fast_gate,6,1,measured,0.5,0.0,,8,X,Y,2,0,5,5,0.625,2,"C00,W",0.5,1,0,1,0,2,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C03 C00->Y C02->C04 C03->C05 W->Y X->C02 X->Y C00-X,0.0001656250000001691,0.0,0.0001656250000001691,,1,5,2,0,0.5280000000000001,0.528,2,1
c06_s01_cov050_seed00000009_bw000,c06_s01_cov050_seed00000009,flip,fast_gate,6,1,measured,0.5,0.0,,9,X,Y,3,1,5,5,0.6666666666666666,2,"C00,W",0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y C02->C03 C02->C04 C03->C05 W->Y X->Y C00-X C02-X,0.00023166699999954687,0.0,0.00023166699999954687,,1,5,2,0,0.4094068861701448,1.0154343560576475,3,0
c06_s01_cov050_seed00000010_bw000,c06_s01_cov050_seed00000010,flip,fast_gate,6,1,measured,0.5,0.0,,10,X,Y,4,2,5,5,0.7,2,"C00,W",0.25,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C05 C00->Y C02->C03 C02->C04 W->Y X->Y C00-X C02-X C05-X,0.0007684580000004715,0.0,0.0007684580000004715,,1,5,2,0,0.3027762845849802,1.0092542819499342,4,1
c06_s01_cov050_seed00000011_bw000,c06_s01_cov050_seed00000011,flip,fast_gate,6,1,measured,0.5,0.0,,11,X,Y,3,3,3,3,0.6666666666666666,2,"C00,W",0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->Y W->Y X->Y C00-C04 C00-C05 C00-X C02-C04,0.00021429099999981105,0.0,0.00021429099999981105,,1,3,2,0,0.6470000000000001,0.647,3,2
c06_s01_cov050_seed00000012_bw000,c06_s01_cov050_seed00000012,flip,fast_gate,6,1,measured,0.5,0.0,,12,X,Y,4,2,5,5,0.7,2,"C00,W",0.25,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C03 C00->C04 C00->C05 C00->Y W->Y X->C02 X->Y C00-X C03-X C04-C05,0.0002518330000000901,0.0,0.0002518330000000901,,1,5,2,0,0.5889234567901236,1.2676049382716048,4,2
c06_s01_cov050_seed00000013_bw000,c06_s01_cov050_seed00000013,flip,fast_gate,6,1,measured,0.5,0.0,,13,X,Y,3,1,5,5,0.6666666666666666,2,"C00,W",0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C02->C03 C02->C04 W->Y X->C02 X->C05 X->Y C00-X C03-C04,0.00023304199999962805,0.0,0.00023304199999962805,,1,5,2,0,0.0,0.0,3,0
c06_s01_cov050_seed00000014_bw000,c06_s01_cov050_seed00000014,flip,fast_gate,6,1,measured,0.5,0.0,,14,X,Y,2,0,5,5,0.625,2,"C00,W",0.5,1,0,1,0,2,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y C02->C03 C04->C05 W->Y X->C04 X->Y C00-X,0.00035737500000010414,0.0,0.00035737500000010414,,1,5,2,0,0.477,0.477,2,1
c06_s01_cov050_seed00000015_bw000,c06_s01_cov050_seed00000015,flip,fast_gate,6,1,measured,0.5,0.0,,15,X,Y,3,1,5,5,0.6666666666666666,2,"C00,W",0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C04 C00->C05 C00->Y C02->C03 W->Y X->C02 X->Y C00-X C04-C05,0.00020750000000013813,0.0,0.00020750000000013813,,1,5,2,0,0.8435,1.687,3,1
c06_s01_cov050_seed00000016_bw000,c06_s01_cov050_seed00000016,flip,fast_gate,6,1,measured,0.5,0.0,,16,X,Y,3,0,6,6,0.6666666666666666,2,"C00,W",0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C02->C03 C02->C05 W->Y X->C02 X->C03 X->C04 X->Y C00-X,0.0004623329999997594,0.0,0.0004623329999997594,,1,6,3,0,0.24258160237388723,0.48516320474777447,3,1
c06_s01_cov050_seed00000017_bw000,c06_s01_cov050_seed00000017,flip,fast_gate,6,1,measured,0.5,0.0,,17,X,Y,4,2,5,5,0.7,2,"C00,W",0.25,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y C02->C03 C02->C04 W->Y X->C05 X->Y C00-X C02-X C03-C04,0.00029766699999989044,0.0,0.00029766699999989044,,1,5,2,0,0.42313428721840707,1.5200792263693903,4,0
c06_s01_cov050_seed00000018_bw000,c06_s01_cov050_seed00000018,flip,fast_gate,6,1,measured,0.5,0.0,,18,X,Y,3,1,5,5,0.6666666666666666,2,"C00,W",0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C03 C00->C04 C00->Y C03->C05 W->Y X->C02 X->Y C00-X C03-X,0.00022433400000032577,0.0,0.00022433400000032577,,1,5,2,0,0.343,0.686,3,1
c06_s01_cov050_seed00000019_bw000,c06_s01_cov050_seed00000019,flip,fast_gate,6,1,measured,0.5,0.0,,19,X,Y,3,1,5,5,0.6666666666666666,2,"C00,W",0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C04 C00->C05 C00->Y W->Y X->C02 X->C03 X->Y C00-X C02-C03,0.00020087500000087744,0.0,0.00020087500000087744,,1,5,2,0,0.6710000000000002,0.671,3,2
c06_s01_cov050_seed00000020_bw000,c06_s01_cov050_seed00000020,flip,fast_gate,6,1,measured,0.5,0.0,,20,X,Y,4,1,6,6,0.7,2,"C00,W",0.25,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C03 C00->C04 C00->Y C02->C05 W->Y X->C02 X->C05 X->Y C00-X C03-X,0.0003177910000005113,0.0,0.0003177910000005113,,1,6,3,0,0.3712166921898928,1.2373889739663093,4,1
c06_s01_cov050_seed00000021_bw000,c06_s01_cov050_seed00000021,flip,fast_gate,6,1,measured,0.5,0.0,,21,X,Y,2,1,4,4,0.625,2,"C00,W",0.5,1,0,1,0,2,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y C02->C03 W->Y X->C04 X->Y C00-C05 C00-X,0.00019858399999961307,0.0,0.00019858399999961307,,1,4,2,0,0.46499999999999997,0.465,2,1
c06_s01_cov050_seed00000022_bw000,c06_s01_cov050_seed00000022,flip,fast_gate,6,1,measured,0.5,0.0,,22,X,Y,4,2,5,5,0.7,2,"C00,W",0.25,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->C05 C00->Y C02->C04 W->Y X->Y C00-X C02-X C03-X,0.00032454100000123276,0.0,0.00032454100000123276,,1,5,2,0,0.2313,0.771,4,2
c06_s01_cov050_seed00000023_bw000,c06_s01_cov050_seed00000023,flip,fast_gate,6,1,measured,0.5,0.0,,23,X,Y,3,2,4,4,0.6666666666666666,2,"C00,W",0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->Y C02->C04 W->Y X->Y C00-C05 C00-X C02-C03,0.00021541699999971797,0.0,0.00021541699999971797,,1,4,2,0,0.8265,1.653,3,1
c06_s01_cov050_seed00000024_bw000,c06_s01_cov050_seed00000024,flip,fast_gate,6,1,measured,0.5,0.0,,24,X,Y,2,2,3,3,0.625,2,"C00,W",0.5,1,0,1,0,2,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y C02->C05 W->Y X->Y C00-C03 C00-C04 C00-X,0.0003619170000010996,0.0,0.0003619170000010996,,1,3,2,0,0.4900000000000001,0.49,2,1
c06_s01_cov050_seed00000025_bw000,c06_s01_cov050_seed00000025,flip,fast_gate,6,1,measured,0.5,0.0,,25,X,Y,4,2,6,6,0.7272727272727273,2,"C00,W",0.25,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->C05 C00->Y C02->C04 W->Y X->C04 X->Y C00-X C02-C03 C02-X,0.0003627500000007444,0.0,0.0003627500000007444,,1,6,2,0,0.5813322580645159,1.2539032258064515,4,2
c06_s01_cov050_seed00000026_bw000,c06_s01_cov050_seed00000026,flip,fast_gate,6,1,measured,0.5,0.0,,26,X,Y,4,2,5,5,0.7,2,"C00,W",0.25,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->Y C02->C04 C02->C05 W->Y X->Y C00-X C02-X C03-X,0.0003517920000000174,0.0,0.0003517920000000174,,1,5,2,0,0.29723344160429316,0.9907781386809773,4,1
c06_s01_cov050_seed00000027_bw000,c06_s01_cov050_seed00000027,flip,fast_gate,6,1,measured,0.5,0.0,,27,X,Y,3,1,5,5,0.6666666666666666,2,"C00,W",0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->Y C02->C04 W->Y X->C05 X->Y C00-X C02-C03,0.00021441700000046637,0.0,0.00021441700000046637,,1,5,2,0,0.834,1.6680000000000001,3,1
c06_s01_cov050_seed00000028_bw000,c06_s01_cov050_seed00000028,flip,fast_gate,6,1,measured,0.5,0.0,,28,X,Y,3,1,5,5,0.6666666666666666,2,"C00,W",0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C05 C00->Y C02->C03 C02->C04 W->Y X->C02 X->Y C00-X C03-C04,0.00022774999999874979,0.0,0.00022774999999874979,,1,5,2,0,0.2420091324200913,0.4840182648401826,3,1
c06_s01_cov050_seed00000029_bw000,c06_s01_cov050_seed00000029,flip,fast_gate,6,1,measured,0.5,0.0,,29,X,Y,4,0,7,7,0.7,2,"C00,W",0.25,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C03 C00->Y C02->C04 C02->C05 W->Y X->C02 X->C04 X->C05 X->Y C00-X,0.00031129200000101775,0.0,0.00031129200000101775,,1,7,4,0,0.5901181126331813,1.2750258751902588,4,2
c06_s01_cov050_seed00000030_bw000,c06_s01_cov050_seed00000030,flip,fast_gate,6,1,measured,0.5,0.0,,30,X,Y,3,2,4,4,0.6666666666666666,2,"C00,W",0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->Y C02->C04 W->Y X->Y C00-C05 C00-X C02-C03,0.00019883399999898188,0.0,0.00019883399999898188,,1,4,2,0,0.8345,1.669,3,1
c06_s01_cov050_seed00000031_bw000,c06_s01_cov050_seed00000031,flip,fast_gate,6,1,measured,0.5,0.0,,31,X,Y,4,2,5,5,0.7,2,"C00,W",0.25,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C04 C00->C05 C00->Y C02->C03 W->Y X->Y C00-X C02-C05 C02-X,0.0005882079999999235,0.0,0.0005882079999999235,,1,5,2,0,0.5797744680851064,1.247677811550152,4,2
c06_s01_cov050_seed00000032_bw000,c06_s01_cov050_seed00000032,flip,fast_gate,6,1,measured,0.5,0.0,,32,X,Y,2,0,5,5,0.625,2,"C00,W",0.5,1,0,1,0,2,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C03 C00->Y W->Y X->C02 X->C04 X->C05 X->Y C00-X,0.0001824580000011622,0.0,0.0001824580000011622,,1,5,2,0,0.479,0.479,2,1
c06_s01_cov050_seed00000033_bw000,c06_s01_cov050_seed00000033,flip,fast_gate,6,1,measured,0.5,0.0,,33,X,Y,2,0,5,5,0.625,2,"C00,W",0.5,1,0,1,0,2,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y W->Y X->C02 X->C03 X->C04 X->C05 X->Y C00-X,0.00019370799999762767,0.0,0.00019370799999762767,,1,5,2,0,0.0,0.0,2,0
c06_s01_cov050_seed00000034_bw000,c06_s01_cov050_seed00000034,flip,fast_gate,6,1,measured,0.5,0.0,,34,X,Y,3,1,5,5,0.6666666666666666,2,"C00,W",0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->Y C02->C04 W->Y X->C05 X->Y C00-X C03-X,0.0002511250000019061,0.0,0.0002511250000019061,,1,5,2,0,0.332,0.664,3,1
c06_s01_cov050_seed00000035_bw000,c06_s01_cov050_seed00000035,flip,fast_gate,6,1,measured,0.5,0.0,,35,X,Y,3,1,5,5,0.6666666666666666,2,"C00,W",0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C04 C00->Y C02->C05 W->Y X->C03 X->Y C00-X C02-C04,0.000211625000002158,0.0,0.000211625000002158,,1,5,2,0,0.8390000000000001,1.678,3,1
c06_s01_cov050_seed00000036_bw000,c06_s01_cov050_seed00000036,flip,fast_gate,6,1,measured,0.5,0.0,,36,X,Y,2,2,3,3,0.625,2,"C00,W",0.5,1,0,1,0,2,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y C02->C05 W->Y X->Y C00-C03 C00-X C03-C04,0.00021116699999979005,0.0,0.00021116699999979005,,1,3,2,0,0.5120000000000001,0.512,2,1
c06_s01_cov050_seed00000037_bw000,c06_s01_cov050_seed00000037,flip,fast_gate,6,1,measured,0.5,0.0,,37,X,Y,3,1,5,5,0.6666666666666666,2,"C00,W",0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->Y C03->C04 C03->C05 W->Y X->Y C00-X C02-C03,0.00023279100000195285,0.0,0.00023279100000195285,,1,5,2,0,0.8285,1.657,3,1
c06_s01_cov050_seed00000038_bw000,c06_s01_cov050_seed00000038,flip,fast_gate,6,1,measured,0.5,0.0,,38,X,Y,4,0,7,7,0.7,2,"C00,W",0.25,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y C03->C05 W->Y X->C02 X->C03 X->C04 X->C05 X->Y C00-X,0.00032537499999918396,0.0,0.00032537499999918396,,1,7,4,0,0.4125177443813781,1.4873444847939377,4,0
c06_s01_cov050_seed00000039_bw000,c06_s01_cov050_seed00000039,flip,fast_gate,6,1,measured,0.5,0.0,,39,X,Y,4,1,6,6,0.7,2,"C00,W",0.25,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C03 C00->Y C04->C05 W->Y X->C02 X->C04 X->C05 X->Y C00-X C03-X,0.00034854200000111746,0.0,0.00034854200000111746,,1,6,3,0,0.26813726642378655,0.8937908880792886,4,0
c06_s01_cov050_seed00000000_bw010,c06_s01_cov050_seed00000000,flip,fast_gate,6,1,measured,0.5,0.1,,0,X,Y,4,2,5,5,0.7,2,"C00,W",0.25,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->C04 C00->Y C03->C05 W->Y X->Y C00-X C02-X C03-X,0.0002877500000018074,0.0,0.0002877500000018074,,1,5,2,0,0.2277,0.759,4,2
c06_s01_cov050_seed00000001_bw010,c06_s01_cov050_seed00000001,flip,fast_gate,6,1,measured,0.5,0.1,,1,X,Y,3,1,5,5,0.6666666666666666,2,"C00,W",0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->Y C03->C04 C04->C05 W->Y X->Y C00-X C03-X,0.00022062500000075147,0.0,0.00022062500000075147,,1,5,2,0,0.3445,0.689,3,1
c06_s01_cov050_seed00000002_bw010,c06_s01_cov050_seed00000002,flip,fast_gate,6,1,measured,0.5,0.1,,2,X,Y,3,2,4,4,0.6666666666666666,2,"C00,W",0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->Y W->Y X->C04 X->Y C00-C05 C00-X C02-X,0.0002251250000000482,0.0,0.0002251250000000482,,1,4,2,0,0.3235,0.647,3,1
c06_s01_cov050_seed00000003_bw010,c06_s01_cov050_seed00000003,flip,fast_gate,6,1,measured,0.5,0.1,,3,X,Y,4,2,5,5,0.7,2,"C00,W",0.25,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->C04 C00->Y C02->C05 W->Y X->Y C00-X C02-X C03-C04,0.0011002080000004355,0.0,0.0011002080000004355,,1,5,2,0,0.6237899686520376,1.331128526645768,4,2
c06_s01_cov050_seed00000004_bw010,c06_s01_cov050_seed00000004,flip,fast_gate,6,1,measured,0.5,0.1,,4,X,Y,2,0,5,5,0.625,2,"C00,W",0.5,1,0,1,0,2,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C05 C00->Y C02->C03 C03->C04 W->Y X->C02 X->Y C00-X,0.00016279100000105018,0.0,0.00016279100000105018,,1,5,2,0,0.5,0.5,2,1
c06_s01_cov050_seed00000005_bw010,c06_s01_cov050_seed00000005,flip,fast_gate,6,1,measured,0.5,0.1,,5,X,Y,3,0,6,6,0.6666666666666666,2,"C00,W",0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C02->C03 C02->C04 W->Y X->C02 X->C04 X->C05 X->Y C00-X,0.00022037500000138266,0.0,0.00022037500000138266,,1,6,3,0,0.2631578947368421,0.5263157894736842,3,1
c06_s01_cov050_seed00000006_bw010,c06_s01_cov050_seed00000006,flip,fast_gate,6,1,measured,0.5,0.1,,6,X,Y,2,0,5,5,0.625,2,"C00,W",0.5,1,0,1,0,2,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y C02->C04 W->Y X->C03 X->C05 X->Y C00-X,0.00016366700000247647,0.0,0.00016366700000247647,,1,5,2,0,0.508,0.508,2,1
c06_s01_cov050_seed00000007_bw010,c06_s01_cov050_seed00000007,flip,fast_gate,6,1,measured,0.5,0.1,,7,X,Y,2,0,5,5,0.625,2,"C00,W",0.5,1,0,1,0,2,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C03->C04 W->Y X->C02 X->C03 X->C05 X->Y C00-X,0.00018016699999989783,0.0,0.00018016699999989783,,1,5,2,0,0.0,0.0,2,0
c06_s01_cov050_seed00000008_bw010,c06_s01_cov050_seed00000008,flip,fast_gate,6,1,measured,0.5,0.1,,8,X,Y,2,0,5,5,0.625,2,"C00,W",0.5,1,0,1,0,2,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C03 C00->Y C02->C04 C03->C05 W->Y X->C02 X->Y C00-X,0.00028320799999903556,0.0,0.00028320799999903556,,1,5,2,0,0.491,0.491,2,1
c06_s01_cov050_seed00000009_bw010,c06_s01_cov050_seed00000009,flip,fast_gate,6,1,measured,0.5,0.1,,9,X,Y,3,1,5,5,0.6666666666666666,2,"C00,W",0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y C02->C03 C02->C04 C03->C05 W->Y X->Y C00-X C02-X,0.00023883300000093755,0.0,0.00023883300000093755,,1,5,2,0,0.4046068685623282,1.0138920996977558,3,0
