instance_id,base_instance_id,arm,gate,component_size,separation,coverage,base_wrongness,seed,x,y,n_k,shd_truth,shd_cpdag,undirected_fraction,z_size,z_star,s0_ok,r_val,r_status,r_method,r_oracle,r_exact,r_assumes,r_witness,r_search_seconds,r_ladder_seconds,r_total_seconds,wall_until_timeout_s,r_stat_elements_visited,r_stat_closures,r_stat_validity_checks,r_stat_extensions_enumerated,AUC_frac_n200,AUC_frac_n1000,AUC_frac_usable_n1000,n_depths_evaluated_n200,n_depths_evaluated_n1000,n_usable_depths_n200,n_usable_depths_n1000,se_auc_frac_n200,se_auc_frac_n1000
c06_s01_cov100_seed00000000_bw000,c06_s01_cov100_seed00000000,flip,fast_gate,6,1,1.0,0.0,0,X,Y,7,0,7,0.7,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->C04 C00->Y C03->C05 W->Y X->C02 X->C03 X->Y C00-X,0.00029691700000000765,0.0,0.00029691700000000765,,1,7,4,0,0.2815549416180151,0.28515421090106957,0.28515421090106957,7,7,2,4,0.022278755602739002,0.010872403939916318
c06_s01_cov100_seed00000001_bw000,c06_s01_cov100_seed00000001,flip,fast_gate,6,1,1.0,0.0,1,X,Y,6,0,6,0.6666666666666666,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->Y C03->C04 C04->C05 W->Y X->C03 X->Y C00-X,0.0002320830000002161,0.0,0.0002320830000002161,,1,6,3,0,0.4430325814536341,0.42770215873176154,0.42770215873176154,6,6,3,5,0.02774774849547191,0.012509974808651852
c06_s01_cov100_seed00000002_bw000,c06_s01_cov100_seed00000002,flip,fast_gate,6,1,1.0,0.0,2,X,Y,6,0,6,0.6666666666666666,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->C05 C00->Y W->Y X->C02 X->C04 X->Y C00-X,0.00022299999999830789,0.0,0.00022299999999830789,,1,6,3,0,0.24729729729729727,0.2646950875211745,0.2646950875211745,6,6,2,3,0.014619945051636897,0.006395303185811108
c06_s01_cov100_seed00000003_bw000,c06_s01_cov100_seed00000003,flip,fast_gate,6,1,1.0,0.0,3,X,Y,7,0,7,0.7,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->C04 C00->Y C02->C05 C03->C04 W->Y X->C02 X->Y C00-X,0.0002757080000002077,0.0,0.0002757080000002077,,1,7,4,0,0.4553359425962166,0.42512736643869564,0.42512736643869564,7,7,3,5,0.020076379131924366,0.00910154420386086
c06_s01_cov100_seed00000004_bw000,c06_s01_cov100_seed00000004,flip,fast_gate,6,1,1.0,0.0,4,X,Y,5,0,5,0.625,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C05 C00->Y C02->C03 C03->C04 W->Y X->C02 X->Y C00-X,0.00017229200000201672,0.0,0.00017229200000201672,,1,5,2,0,0.12804878048780488,0.14099216710182766,0.14099216710182766,5,5,2,4,0.016386395294731924,0.007650809091581022
c06_s01_cov100_seed00000005_bw000,c06_s01_cov100_seed00000005,flip,fast_gate,6,1,1.0,0.0,5,X,Y,6,0,6,0.6666666666666666,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C02->C03 C02->C04 W->Y X->C02 X->C04 X->C05 X->Y C00-X,0.0002485419999977978,0.0,0.0002485419999977978,,1,6,3,0,0.096875,0.09580838323353294,0.09580838323353294,6,6,3,4,0.012493894993530841,0.005466947595744813
c06_s01_cov100_seed00000006_bw000,c06_s01_cov100_seed00000006,flip,fast_gate,6,1,1.0,0.0,6,X,Y,5,0,5,0.625,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y C02->C04 W->Y X->C03 X->C05 X->Y C00-X,0.00016191699999978937,0.0,0.00016191699999978937,,1,5,2,0,0.36296296296296304,0.40949417956495804,0.40949417956495804,5,5,2,2,0.044733097092020384,0.021024789117677384
c06_s01_cov100_seed00000007_bw000,c06_s01_cov100_seed00000007,flip,fast_gate,6,1,1.0,0.0,7,X,Y,5,0,5,0.625,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C03->C04 W->Y X->C02 X->C03 X->C05 X->Y C00-X,0.00018325000000274372,0.0,0.00018325000000274372,,1,5,2,0,0.0,0.0,0.0,5,5,2,3,0.0,0.0
c06_s01_cov100_seed00000008_bw000,c06_s01_cov100_seed00000008,flip,fast_gate,6,1,1.0,0.0,8,X,Y,5,0,5,0.625,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C03 C00->Y C02->C04 C03->C05 W->Y X->C02 X->Y C00-X,0.00016179200000010496,0.0,0.00016179200000010496,,1,5,2,0,0.2740361445783133,0.2726251111650093,0.2726251111650093,5,5,2,3,0.022682054126810566,0.010436307362040447
c06_s01_cov100_seed00000009_bw000,c06_s01_cov100_seed00000009,flip,fast_gate,6,1,1.0,0.0,9,X,Y,6,0,6,0.6666666666666666,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y C02->C03 C02->C04 C03->C05 W->Y X->C02 X->Y C00-X,0.00024137500000165346,0.0,0.00024137500000165346,,1,6,3,0,0.3032344991361385,0.32800727622700254,0.32800727622700254,6,6,3,5,0.028714449094758985,0.012976549739254245
c06_s01_cov100_seed00000010_bw000,c06_s01_cov100_seed00000010,flip,fast_gate,6,1,1.0,0.0,10,X,Y,7,0,7,0.7,2,"C00,W",True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C05 C00->Y C02->C03 C02->C04 W->Y X->C02 X->C05 X->Y C00-X,0.0003065830000004155,0.0,0.0003065830000004155,,1,7,4,0,0.26622320768662233,0.2958951693563647,0.2958951693563647,7,7,3,4,0.022778393692677035,0.010868681126931658
