instance_id,base_instance_id,arm,gate,component_size,separation,separation_status,coverage,base_wrongness,n_tiers,seed,x,y,n_k,shd_truth,shd_cpdag,k_g0,undirected_fraction,z_size,z_star,phi_1,phi_1_n_broken,phi_1_n_inconsistent,r_claim,r_claim_censored,r_claim_cap,s0_ok,r_val,r_status,r_method,r_oracle,r_exact,r_assumes,r_witness,r_search_seconds,r_ladder_seconds,r_total_seconds,wall_until_timeout_s,r_stat_elements_visited,r_stat_closures,r_stat_validity_checks,r_stat_extensions_enumerated,AUC_frac,AUC_abs,n_depths_evaluated,n_depths_all_contradictory
c06_s01_cov050_seed00000000_bw000,c06_s01_cov050_seed00000000,flip,fast_gate,6,1,measured,0.5,0.0,,0,X,Y,4,2,5,5,0.7,2,"C00,W",0.25,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->C04 C00->Y C03->C05 W->Y X->Y C00-X C02-X C03-X,0.00030241600000002755,0.0,0.00030241600000002755,,1,5,2,0,0.23220000000000002,0.774,4,2
c06_s01_cov050_seed00000000_bw010,c06_s01_cov050_seed00000000,flip,fast_gate,6,1,measured,0.5,0.1,,0,X,Y,4,2,5,5,0.7,2,"C00,W",0.25,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->C04 C00->Y C03->C05 W->Y X->Y C00-X C02-X C03-X,0.0002877500000018074,0.0,0.0002877500000018074,,1,5,2,0,0.2277,0.759,4,2
c06_s01_cov050_seed00000000_bw025,c06_s01_cov050_seed00000000,flip,fast_gate,6,1,measured,0.5,0.25,,0,X,Y,4,5,6,6,0.7,2,"C00,W",0.25,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C04 C00->Y C03->C00 C03->X W->Y X->C02 X->Y C00-X C03-C05,0.0003363340000035464,0.0,0.0003363340000035464,,1,6,3,0,0.3676913927582973,1.225637975860991,4,1
c06_s01_cov050_seed00000001_bw000,c06_s01_cov050_seed00000001,flip,fast_gate,6,1,measured,0.5,0.0,,1,X,Y,3,1,5,5,0.6666666666666666,2,"C00,W",0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->Y C03->C04 C04->C05 W->Y X->Y C00-X C03-X,0.00022612499999996594,0.0,0.00022612499999996594,,1,5,2,0,0.34,0.68,3,1
c06_s01_cov050_seed00000001_bw010,c06_s01_cov050_seed00000001,flip,fast_gate,6,1,measured,0.5,0.1,,1,X,Y,3,1,5,5,0.6666666666666666,2,"C00,W",0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->Y C03->C04 C04->C05 W->Y X->Y C00-X C03-X,0.00022062500000075147,0.0,0.00022062500000075147,,1,5,2,0,0.3445,0.689,3,1
c06_s01_cov050_seed00000001_bw025,c06_s01_cov050_seed00000001,flip,fast_gate,6,1,measured,0.5,0.25,,1,X,Y,3,3,5,5,0.6666666666666666,2,"C00,W",0.0,0,0,2,0,3,True,2,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C03 C00->Y C03->C04 C04->C05 W->Y X->Y C00-C02 C00-X C03-X,0.0004884580000066308,0.0,0.0004884580000066308,,2,9,3,0,0.6504518072289156,1.5015060240963856,3,0
c06_s01_cov050_seed00000002_bw000,c06_s01_cov050_seed00000002,flip,fast_gate,6,1,measured,0.5,0.0,,2,X,Y,3,2,4,4,0.6666666666666666,2,"C00,W",0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->Y W->Y X->C04 X->Y C00-C05 C00-X C02-X,0.0002366249999998793,0.0,0.0002366249999998793,,1,4,2,0,0.32,0.64,3,1
c06_s01_cov050_seed00000002_bw010,c06_s01_cov050_seed00000002,flip,fast_gate,6,1,measured,0.5,0.1,,2,X,Y,3,2,4,4,0.6666666666666666,2,"C00,W",0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->Y W->Y X->C04 X->Y C00-C05 C00-X C02-X,0.0002251250000000482,0.0,0.0002251250000000482,,1,4,2,0,0.3235,0.647,3,1
c06_s01_cov050_seed00000002_bw025,c06_s01_cov050_seed00000002,flip,fast_gate,6,1,measured,0.5,0.25,,2,X,Y,3,3,5,5,0.6666666666666666,1,W,0.6666666666666666,2,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->C05 C00->Y W->Y X->C02 X->Y C00-X C04-X,0.0002549159999958306,0.0,0.0002549159999958306,,1,5,2,0,0.0,0.0,3,1
c06_s01_cov050_seed00000003_bw000,c06_s01_cov050_seed00000003,flip,fast_gate,6,1,measured,0.5,0.0,,3,X,Y,4,2,5,5,0.7,2,"C00,W",0.25,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->C04 C00->Y C02->C05 W->Y X->Y C00-X C02-X C03-C04,0.00036558399999986335,0.0,0.00036558399999986335,,1,5,2,0,0.6150030303030303,1.3065757575757577,4,2
c06_s01_cov050_seed00000003_bw010,c06_s01_cov050_seed00000003,flip,fast_gate,6,1,measured,0.5,0.1,,3,X,Y,4,2,5,5,0.7,2,"C00,W",0.25,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->C04 C00->Y C02->C05 W->Y X->Y C00-X C02-X C03-C04,0.0011002080000004355,0.0,0.0011002080000004355,,1,5,2,0,0.6237899686520376,1.331128526645768,4,2
c06_s01_cov050_seed00000003_bw025,c06_s01_cov050_seed00000003,flip,fast_gate,6,1,measured,0.5,0.25,,3,X,Y,4,6,5,5,0.7,2,"C00,W",0.25,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C03 C00->C04 C00->Y C02->C00 C02->X W->Y X->Y C00-X C02-C05 C03-C04,0.0005525420000012105,0.0,0.0005525420000012105,,1,5,3,0,0.7479467186484731,2.1598223954949103,4,1
c06_s01_cov050_seed00000004_bw000,c06_s01_cov050_seed00000004,flip,fast_gate,6,1,measured,0.5,0.0,,4,X,Y,2,0,5,5,0.625,2,"C00,W",0.5,1,0,1,0,2,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C05 C00->Y C02->C03 C03->C04 W->Y X->C02 X->Y C00-X,0.00017554099999994577,0.0,0.00017554099999994577,,1,5,2,0,0.508,0.508,2,1
c06_s01_cov050_seed00000004_bw010,c06_s01_cov050_seed00000004,flip,fast_gate,6,1,measured,0.5,0.1,,4,X,Y,2,0,5,5,0.625,2,"C00,W",0.5,1,0,1,0,2,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C05 C00->Y C02->C03 C03->C04 W->Y X->C02 X->Y C00-X,0.00016279100000105018,0.0,0.00016279100000105018,,1,5,2,0,0.5,0.5,2,1
c06_s01_cov050_seed00000004_bw025,c06_s01_cov050_seed00000004,flip,fast_gate,6,1,measured,0.5,0.25,,4,X,Y,2,0,5,5,0.625,2,"C00,W",0.5,1,0,1,0,2,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C05 C00->Y C02->C03 C03->C04 W->Y X->C02 X->Y C00-X,0.00016312500000026375,0.0,0.00016312500000026375,,1,5,2,0,0.5019999999999999,0.502,2,1
c06_s01_cov050_seed00000005_bw000,c06_s01_cov050_seed00000005,flip,fast_gate,6,1,measured,0.5,0.0,,5,X,Y,3,0,6,6,0.6666666666666666,2,"C00,W",0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C02->C03 C02->C04 W->Y X->C02 X->C04 X->C05 X->Y C00-X,0.00024033300000025903,0.0,0.00024033300000025903,,1,6,3,0,0.2545871559633027,0.5091743119266054,3,1
c06_s01_cov050_seed00000005_bw010,c06_s01_cov050_seed00000005,flip,fast_gate,6,1,measured,0.5,0.1,,5,X,Y,3,0,6,6,0.6666666666666666,2,"C00,W",0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C02->C03 C02->C04 W->Y X->C02 X->C04 X->C05 X->Y C00-X,0.00022037500000138266,0.0,0.00022037500000138266,,1,6,3,0,0.2631578947368421,0.5263157894736842,3,1
c06_s01_cov050_seed00000005_bw025,c06_s01_cov050_seed00000005,flip,fast_gate,6,1,measured,0.5,0.25,,5,X,Y,3,5,3,3,0.6666666666666666,1,W,0.3333333333333333,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C02->C03 C02->C04 W->Y X->Y C00-X C02-X C04-X C05-X,0.0005861670000015806,0.0,0.0005861670000015806,,1,3,2,0,0.338,0.676,3,1
c06_s01_cov050_seed00000006_bw000,c06_s01_cov050_seed00000006,flip,fast_gate,6,1,measured,0.5,0.0,,6,X,Y,2,0,5,5,0.625,2,"C00,W",0.5,1,0,1,0,2,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y C02->C04 W->Y X->C03 X->C05 X->Y C00-X,0.00017312499999988518,0.0,0.00017312499999988518,,1,5,2,0,0.495,0.495,2,1
c06_s01_cov050_seed00000006_bw010,c06_s01_cov050_seed00000006,flip,fast_gate,6,1,measured,0.5,0.1,,6,X,Y,2,0,5,5,0.625,2,"C00,W",0.5,1,0,1,0,2,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y C02->C04 W->Y X->C03 X->C05 X->Y C00-X,0.00016366700000247647,0.0,0.00016366700000247647,,1,5,2,0,0.508,0.508,2,1
