instance_id,base_instance_id,arm,gate,component_size,separation,separation_status,coverage,base_wrongness,n_tiers,seed,x,y,n_k,shd_truth,shd_cpdag,k_g0,undirected_fraction,z_size,z_star,phi_1,phi_1_n_broken,phi_1_n_inconsistent,r_claim,r_claim_censored,r_claim_cap,s0_ok,r_val,r_status,r_method,r_oracle,r_exact,r_assumes,r_witness,r_search_seconds,r_ladder_seconds,r_total_seconds,wall_until_timeout_s,r_stat_elements_visited,r_stat_closures,r_stat_validity_checks,r_stat_extensions_enumerated,AUC_frac,AUC_abs,n_depths_evaluated,n_depths_all_contradictory
c12_s01_cov050_seed00000000_bw000,c12_s01_cov050_seed00000000,flip,fast_gate,12,1,measured,0.5,0.0,,0,X,Y,8,4,11,11,0.8333333333333334,2,"C00,W",0.125,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->C04 C00->C10 C00->Y C03->C05 C04->C07 C04->C08 C04->C11 C05->C06 C06->C09 W->Y X->Y C00-X C02-X C03-X C04-C10 C08-C11,0.0009555419999998094,0.0,0.0009555419999998094,,1,11,2,0,0.6722874136327053,2.1081888216417366,8,5
c12_s01_cov050_seed00000001_bw000,c12_s01_cov050_seed00000001,flip,fast_gate,12,1,measured,0.5,0.0,,1,X,Y,6,1,11,11,0.8,2,"C00,W",0.16666666666666666,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->C08 C00->C09 C00->Y C03->C04 C03->C11 C04->C05 C05->C07 C08->C10 W->Y X->C06 X->Y C00-X C03-X,0.0005377919999993708,0.0,0.0005377919999993708,,1,11,2,0,0.2483508771929824,1.2417543859649123,6,3
c12_s01_cov050_seed00000002_bw000,c12_s01_cov050_seed00000002,flip,fast_gate,12,1,measured,0.5,0.0,,2,X,Y,7,3,11,11,0.8235294117647058,2,"C00,W",0.14285714285714285,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->C05 C00->C06 C00->C07 C00->Y C02->C09 C05->C08 C10->C11 W->Y X->C04 X->C10 X->Y C00-X C02-X C05-C06 C07-X,0.0008550000000013824,0.0,0.0008550000000013824,,1,11,2,0,0.2190115367026911,1.3487522647942438,7,4
c12_s01_cov050_seed00000003_bw000,c12_s01_cov050_seed00000003,flip,fast_gate,12,1,measured,0.5,0.0,,3,X,Y,8,1,14,14,0.8333333333333334,2,"C00,W",0.125,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C03 C00->C04 C00->C06 C00->Y C02->C05 C03->C04 C03->C06 C03->C07 C03->C08 C03->C09 C04->C07 C06->C10 C06->C11 W->Y X->Y C00-X C02-X,0.0010244579999998393,0.0,0.0010244579999998393,,1,14,4,0,0.26491157890134875,1.9737534701729076,8,4
c12_s01_cov050_seed00000004_bw000,c12_s01_cov050_seed00000004,flip,fast_gate,12,1,measured,0.5,0.0,,4,X,Y,6,1,11,11,0.8,2,"C00,W",0.16666666666666666,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C05 C00->C09 C00->Y C02->C03 C03->C04 C03->C06 C04->C07 C04->C10 C06->C08 C10->C11 W->Y X->C02 X->Y C00-X C04-C06,0.0006105000000005134,0.0,0.0006105000000005134,,1,11,2,0,0.13544554455445545,0.6772277227722773,6,2
c12_s01_cov050_seed00000005_bw000,c12_s01_cov050_seed00000005,flip,fast_gate,12,1,measured,0.5,0.0,,5,X,Y,7,1,13,13,0.8235294117647058,2,"C00,W",0.14285714285714285,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C07 C00->Y C02->C03 C02->C04 C02->C06 C02->C09 C04->C10 C08->C11 W->Y X->C02 X->C04 X->C05 X->C06 X->C08 X->Y C00-X C05-C08,0.0008118339999967361,0.0,0.0008118339999967361,,1,13,4,0,0.17703543843707406,1.0432417083144025,7,4
c12_s01_cov050_seed00000006_bw000,c12_s01_cov050_seed00000006,flip,fast_gate,12,1,measured,0.5,0.0,,6,X,Y,6,0,12,12,0.8,2,"C00,W",0.16666666666666666,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C11 C00->Y C02->C04 C02->C06 C03->C08 C04->C07 C08->C10 W->Y X->C03 X->C05 X->C08 X->C09 X->Y C00-X,0.0005968339999995464,0.0,0.0005968339999995464,,1,12,3,0,0.9154117521950408,2.577058760975204,6,3
c12_s01_cov050_seed00000007_bw000,c12_s01_cov050_seed00000007,flip,fast_gate,12,1,measured,0.5,0.0,,7,X,Y,6,1,11,11,0.8,2,"C00,W",0.16666666666666666,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C07 C00->C08 C00->Y C02->C11 C03->C04 C03->C09 C05->C06 C07->C10 W->Y X->C02 X->C03 X->C05 X->Y C00-X C04-C09,0.0006102910000009842,0.0,0.0006102910000009842,,1,11,2,0,0.13905930470347647,0.6952965235173824,6,3
c12_s01_cov050_seed00000008_bw000,c12_s01_cov050_seed00000008,flip,fast_gate,12,1,measured,0.5,0.0,,8,X,Y,8,3,12,12,0.8333333333333334,2,"C00,W",0.125,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C03 C00->Y C02->C04 C02->C09 C03->C05 C03->C06 C03->C07 C03->C08 C03->C11 W->Y X->C02 X->C09 X->C10 X->Y C00-X C05-C07 C07-C08 C08-C11,0.001098874999996724,0.0,0.001098874999996724,,1,12,3,0,0.9203280158882695,3.428086360433084,8,4
c12_s01_cov050_seed00000009_bw000,c12_s01_cov050_seed00000009,flip,fast_gate,12,1,measured,0.5,0.0,,9,X,Y,7,3,11,11,0.8235294117647058,2,"C00,W",0.14285714285714285,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C10 C00->Y C02->C03 C02->C04 C03->C05 C03->C09 C03->C11 C05->C06 C05->C07 C06->C08 W->Y X->Y C00-X C02-X C05-C09 C06-C07,0.0010532909999980689,0.0,0.0010532909999980689,,1,11,2,0,0.3310826971999175,2.140514307508176,7,2
c12_s01_cov050_seed00000010_bw000,c12_s01_cov050_seed00000010,flip,fast_gate,12,1,measured,0.5,0.0,,10,X,Y,6,2,11,11,0.8125,2,"C00,W",0.16666666666666666,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C05 C00->C07 C00->C09 C00->Y C02->C03 C02->C04 C03->C08 C03->C10 C04->C06 C10->C11 W->Y X->Y C00-X C02-X C05-X,0.001088500000001602,0.0,0.001088500000001602,,1,11,2,0,0.23139627039627042,1.156981351981352,6,3
