instance_id,base_instance_id,arm,gate,component_size,separation,separation_status,coverage,base_wrongness,n_tiers,seed,x,y,n_k,shd_truth,shd_cpdag,k_g0,undirected_fraction,z_size,z_star,phi_1,phi_1_n_broken,phi_1_n_inconsistent,r_claim,r_claim_censored,r_claim_cap,s0_ok,r_val,r_status,r_method,r_oracle,r_exact,r_assumes,r_witness,r_search_seconds,r_ladder_seconds,r_total_seconds,wall_until_timeout_s,r_stat_elements_visited,r_stat_closures,r_stat_validity_checks,r_stat_extensions_enumerated,AUC_frac,AUC_abs,n_depths_evaluated,n_depths_all_contradictory
c12_s01_cov050_seed00000005_bw025,c12_s01_cov050_seed00000005,flip,fast_gate,12,1,measured,0.5,0.25,,5,X,Y,7,10,8,8,0.8235294117647058,1,W,0.14285714285714285,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C07 C00->Y C02->C03 C02->C04 C02->C09 C04->C10 C06->C02 W->Y X->C04 X->Y C00-X C02-X C05-C08 C05-X C06-X C08-C11 C08-X,0.0012950410000005519,0.0,0.0012950410000005519,,1,8,2,0,0.23945044322323894,1.5199017887657675,7,3
c12_s01_cov050_seed00000007_bw025,c12_s01_cov050_seed00000007,flip,fast_gate,12,1,measured,0.5,0.25,,7,X,Y,6,7,11,11,0.8,1,W,0.0,0,0,2,0,3,True,3,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C07 C00->C08 C00->Y C03->C04 C03->C09 C05->C06 C07->C10 W->Y X->C03 X->C05 X->Y C00-X C02-C11 C02-X C04-C09,0.0038354159999993698,0.0,0.0038354159999993698,,3,30,6,0,0.5157527135441244,1.9775365738555923,6,3
c12_s01_cov050_seed00000008_bw025,c12_s01_cov050_seed00000008,flip,fast_gate,12,1,measured,0.5,0.25,,8,X,Y,8,6,15,15,0.8333333333333334,2,"C00,W",0.0,0,0,3,0,3,True,3,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->Y C02->C04 C02->C09 C03->C05 C03->C06 C03->C08 C03->C11 C07->C05 C07->C08 C08->C11 W->Y X->C02 X->C09 X->C10 X->Y C00-C03 C00-X C03-C07,0.009547416000000197,0.0,0.009547416000000197,,11,149,40,0,0.37340425531914895,2.7340425531914896,8,4
c12_s01_cov050_seed00000018_bw025,c12_s01_cov050_seed00000018,flip,fast_gate,12,1,measured,0.5,0.25,,18,X,Y,7,8,12,12,0.8235294117647058,2,"C00,W",0.14285714285714285,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C04 C00->Y C03->C00 C03->C06 C03->C07 C03->C08 C03->C11 C03->X C05->C03 C05->C07 C07->C10 W->Y X->C02 X->Y C00-X C05-C09 C08-C11,0.0008989170000006652,0.0,0.0008989170000006652,,1,12,4,0,0.3318369868901784,1.4786332166651315,7,4
c12_s01_cov050_seed00000021_bw025,c12_s01_cov050_seed00000021,flip,fast_gate,12,1,measured,0.5,0.25,,21,X,Y,7,7,13,13,0.8235294117647058,1,W,0.0,0,0,2,0,3,True,3,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C05 C00->C06 C00->Y C02->C03 C04->C08 C06->C09 C06->C10 C07->C08 C09->C11 W->Y X->C06 X->Y C00-X C04-C07 C04-X C09-C10,0.007911542000002214,0.0,0.007911542000002214,,6,71,14,0,0.3072512093176161,1.8201756445780304,7,3
c12_s01_cov050_seed00000023_bw025,c12_s01_cov050_seed00000023,flip,fast_gate,12,1,measured,0.5,0.25,,23,X,Y,7,6,12,12,0.8235294117647058,2,"C00,W",0.0,0,0,3,0,3,True,3,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C05 C00->C06 C00->C07 C00->C09 C00->Y C02->C06 C05->C08 C05->C11 C06->C09 W->Y X->C10 X->Y C00-C02 C00-C03 C00-X C02-C03 C02-C04,0.003684082999996008,0.0,0.003684082999996008,,4,44,7,0,0.9653543307086615,3.826771653543307,7,3
c12_s01_cov050_seed00000028_bw025,c12_s01_cov050_seed00000028,flip,fast_gate,12,1,measured,0.5,0.25,,28,X,Y,6,7,12,12,0.8125,1,W,0.0,0,0,2,0,3,True,3,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C05 C00->Y C02->C04 C02->C06 C02->C11 C03->C04 C06->C07 C06->C08 C06->C10 C07->C09 W->Y X->Y C00-X C02-C03 C02-X C08-C10,0.003930249999996249,0.0,0.003930249999996249,,5,54,14,0,0.3467576791808874,1.733788395904437,6,3
c12_s01_cov050_seed00000034_bw025,c12_s01_cov050_seed00000034,flip,fast_gate,12,1,measured,0.5,0.25,,34,X,Y,6,7,12,12,0.8125,2,"C00,W",0.16666666666666666,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y C02->C04 C03->C00 C03->X C04->C06 C04->C08 C06->C09 C06->C10 C07->C03 C09->C11 W->Y X->C05 X->Y C00-X C09-C10,0.0006911250000030122,0.0,0.0006911250000030122,,1,12,3,0,0.7380058470533928,3.4322972765040776,6,1
c12_s01_cov050_seed00000035_bw025,c12_s01_cov050_seed00000035,flip,fast_gate,12,1,measured,0.5,0.25,,35,X,Y,6,9,8,8,0.8125,1,W,0.16666666666666666,1,0,1,0,3,True,1,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->C04 C00->C06 C00->Y C02->C05 C04->C02 C06->C08 C08->C09 W->Y X->Y C00-X C03-X C07-C11 C07-X C10-X C11-X,0.0011318339999988325,0.0,0.0011318339999988325,,1,8,2,0,0.09451219512195122,0.4725609756097561,6,1
c12_s01_cov050_seed00000036_bw025,c12_s01_cov050_seed00000036,flip,fast_gate,12,1,measured,0.5,0.25,,36,X,Y,6,8,9,9,0.8125,2,"C00,W",0.0,0,0,3,0,3,True,3,ok,local_up_fast,mpdag_criterion,True,"Conjecture 2 (hence Anti-Exchange Case B, verified not proved)",C00->C02 C00->Y C02->C05 C02->C11 C05->C06 W->Y X->C08 X->C09 X->Y C00-C03 C00-C07 C00-X C03-C04 C03-C07 C04-C10 C05-C11,0.003208417000003294,0.0,0.003208417000003294,,4,32,5,0,0.9454545454545453,4.454545454545455,6,1
