network,x,y,condition,frame_row_id,shard_id,z_star,stored_radius,gac_radius,gac_exact,equal,z_gac_valid_at_g0,backdoor_recheck,sanity_status
Didelez_2010,Occ,HRT,D_LLM_32B,f2e41783c91b4dfa,llm__D_LLM_32B__Didelez_2010,"[""Age""]",1,1,True,True,True,1,match
Didelez_2010,Occ,S,D_LLM_32B,aca165b64d0ff084,llm__D_LLM_32B__Didelez_2010,"[""Age""]",1,1,True,True,True,1,match
Didelez_2010,Occ,TCI,D_LLM_32B,a8ef449112a6f518,llm__D_LLM_32B__Didelez_2010,"[""Age""]",1,1,True,True,True,1,match
Didelez_2010,Smo,HRT,D_LLM_32B,e914720ddf250e94,llm__D_LLM_32B__Didelez_2010,"[""Age""]",2,2,True,True,True,2,match
Didelez_2010,Smo,S,D_LLM_32B,f81f1f997b9ce346,llm__D_LLM_32B__Didelez_2010,"[""Age"", ""Thist""]",2,2,True,True,True,2,match
Didelez_2010,Smo,TCI,D_LLM_32B,a9aac82169514f11,llm__D_LLM_32B__Didelez_2010,"[""Age"", ""Thist""]",2,2,True,True,True,2,match
Didelez_2010,Thist,S,D_LLM_32B,6fcac93be07c1921,llm__D_LLM_32B__Didelez_2010,"[""Age"", ""HRT"", ""Smo""]",2,2,True,True,True,2,match
Didelez_2010,Thist,TCI,D_LLM_32B,7dc8ca6d39da58de,llm__D_LLM_32B__Didelez_2010,"[""Age"", ""HRT"", ""Smo""]",2,2,True,True,True,2,match
Kampen_2014,CDR,DET,D_LLM_32B,2f16bb99a077aef2,llm__D_LLM_32B__Kampen_2014,"[""ALN"", ""FTW"", ""PER""]",3,3,True,True,True,3,match
Kampen_2014,PER,DET,D_LLM_32B,9df869a9b4a4f58c,llm__D_LLM_32B__Kampen_2014,"[""ALN"", ""CDR"", ""FTW""]",2,2,True,True,True,2,match
Kampen_2014,AIS,DET,D_LLM_32B,05a9ead53e699099,llm__D_LLM_32B__Kampen_2014,"[""ALN"", ""CDR"", ""PER""]",3,3,True,True,True,3,match
